ID,CANTIDAD,CB,LOTE
02481_01,3,7501088559112,AFA364
02481_01,1,7501088559112,AEM333
00419_01,2,7501082208702,558305
02007_01,2,7501037900521,559530
01033_01,6,7501094913809,h7181
02791_01,3,7501752514928,15045
01555_01,2,300090050139,2BB
02754_01,8,650240015366,5C109
02693_01,2,7502213040116,5J278
00534_01,10,7503004908714,1511887
00037_01,2,7501089800060,14110022
00442_01,3,7501122969808,129416
01492_01,10,7501871720606,22130
00272_01,6,7502209290105,150427
01509_01,6,7503001007090,S5675
02225_01,7,7501409201096,215399
02770_05,2,7501125104664,A14D278
01375_01,5,7501303451559,52228A
00679_01,6,7501108712213,L96795
00138_01,8,7501303443530,XB30CC7
00231_05,10,780083144296,15142154
02845_01,10,7502009743856,153223
00388_01,4,7501072300102,5V7354
01099_01,2,7501050606585,1501618
02735_01,5,7501088506871,15G23
02786_01,9,300055501638,M45065
00680_01,11,7501094910457,R01908B
00523_01,9,7501037950519,558410
00786_01,10,3393370037415,HA9V
02835_01,4,7502001162013,16010233
00388_01,6,7501072300102,5v7354
02965_01,3,301320005011,1513472
01774_01,7,7501046427576,1521600024
00709_01,1,7502213142131,5358150403
02678_01,15,7501842900099,601006
01033_01,6,7501094913809,h7181
02230_01,4,7501088575396,aej328
00284_01,6,300093644045,ac5308
01008_01,8,7501098621175,eabf
00789_01,15,7501130713158,4511006
00124_01,5,7501287678171,1501981A
00527_01,12,7501088606403,15F16JA
01262_01,8,7501314705542,S5J547
01945_06 ,11,7501277093595,1846H15A
01003_02,10,7501070612856,58FR068
00501_02,5,785118753528,5E1438
02791_01,2,7501752514928,15045
02919_01,1,7501165006331,5F1938A
01885_09,12,7502211780915,R1502533
