ID,CANTIDAD,CB,LOTE,
02786_01,12,300055501638,M81105,
00880_01,2,7501088618109,264765F,
01494_05,1,7502223112162,16C004,
00171_01,4,7501050623629,LO89882,
01494_03,1,7501573902782,LG1601,
02693_04,5,7502213040987,6C060,
00290_01,5,7501033953507,61006MC1,
01930_02,3,7501573902812,LL1503,
02648_11,8,7503004908615,1510815,
00501_01,3,7502003388053,5433,
00682_01,3,7501303451603,WEM3E1,
00442_01,3,7501122969808,135138,
00111_01,8,7501089804099,16010019,
00388_01,2,7501072300102,554945,
03000_01,9,7503007822338,FC70188,
01453_03,5,7501563381528,502191,
00376_06,8,780083146214,16141495,
01135_01,17,7501298216409,18343,
02786_01,9,300055501638,m81105,
01754_01,15,7891106904353,bb10jf4,
00115_01,3,3499320001335,5022145,
02552_01,8,7501165005563,10000681,
00449_01,6,7501406829002,c750863,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
00067_01,1,7.50112E+12,139148,
