ID,CANTIDAD,CB,LOTE,,,,,,,,,
02565_08,6,7502208894021,506776,,,,,,,,,
00682_01,5,7501303451603,WEL8LJ,,,,,,,,,
01488_01,3,7501043133548,1530000003,,,,,,,,,
00469_01,5,7501088507670,aek402,,,,,,,,,
02023_01,2,7501088507755,649,,,,,,,,,
02578_01,3,7501871721160,75370,,,,,,,,,
01370_01,5,7501088509902,AEL317,,,,,,,,,
00700_01,2,780083140595,15142669,,,,,,,,,
00546_04,6,7501563310399,601370,,,,,,,,,
01523_01,9,7501752514218,15103,,,,,,,,,
01143_01,8,7501326002912,1506117,,,,,,,,,
00840_01,1,7501836000927,16A016,,,,,,,,,
01029_01,3,7501123014743,5h0125,,,,,,,,,
00230_04,8,780083144302,16140592,,,,,,,,,
02815_01,9,7502009742149,152031,,,,,,,,,
00209_01,7,7501125198045,N15F012,,,,,,,,,
01262_01,5,7501314705542,S5J547,,,,,,,,,
02945_02,3,7503001007076,S5562,,,,,,,,,
00231_05,5,780083144296,15142154,,,,,,,,,
01008_01,3,7501098621175,EABF,,,,,,,,,
00442_01,6,7501122969808,129416,,,,,,,,,
02230_01,3,7501088575396,AEJ328,,,,,,,,,
00810_01,1,7501871720675,76977,,,,,,,,,
00324_01,1,7501082224214,C298957A,,,,,,,,,
01436_01,1,7501326001977,L046531,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
