ID,CANTIDAD,CB,LOTE,,,
00208_01,10,7501050610674,1505064,,,
00526_01,3,7501088606304,15d21c,,,
00266_01,1,7501070903411,11601068,,,
02785_01,5,7501258200134,141250,,,
02855_01,3,656599040486,ES15ENG03,,,
00290_01,7,7501033953507,57010mc,,,
02677_01,8,7501088607950,253613f,,,
00526_01,2,7501088606304,15d21c,,,
02846_01,2,7503003134701,1508184,,,
02493_01,6,5034642020138,r737816,,,
03009_01,10,7501092774730,319243,,,
00095_01,3,7501537101879,407837,,,
00085_01,7,7503001007298,c5567,,,
01143_03 ,6,7501349024113,n15t045,,,
02587_01,6,7501573900115,sl1502,,,
01361_01,4,7501008497562,5g037,,,
00124_01,4,7501287678171,1501991a,,,
01505_01,2,7502009740367,154610,,,
02823_01,3,7502216791527,16A261,,,
00124_01,3,7501287678171,1501981A,,,
02865_05,10,7501573900542,SL1428,,,
02658_03,7,7501258205474,151635,,,
00290_01,4,7501033953507,57010MC,,,
01069_02,4,7501043100311,GM6399,,,
01361_01,1,7501008497562,5F047,,,
