stockid,cantidad,cb,lote
02564_06,2,7502226292175,416040
00376_06,11,780083146214,16142138
02648_01,16,7503001007649,LD1611
02631_06,2,7503003134039,1603940
01483_02,1,780083141653,16240415
01483_01,3,7501672602958,2121
00218_01,8,7501825300373,773J
00256_01,1,7501871720767,98699
00610_01,8,7501072340665,6h197NA
02780_01,8,7501825302773,4691
02634_01,6,780083139568,16142041
02564_06,1,7502226292175,416040
00885_01,10,7501258205870,160764
00442_01,1,7501122969808,164108
02485_01,2,7501070615277,472fs099
00610_01,8,7501072340665,6H197NA
00885_01,14,7501258205870,160764
02780_01,8,7501825302773,4691
01483_01,8,7501672602958,2121
01483_02,2,780083141653,16240589
