ID,CANTIDAD,CB,LOTE
00957_01,4,7501075715910,790036
02736_01,2,7501088507472,16A21
00871_01,2,7501043163057,1507600058
02730_01,1,7501165001886,5F182A
00344_01,1,7501089801159,16010129
00937_01,1,7501298234908,M61119
00794_01,2,7501082212150,655747
02791_01,4,7501752514928,15045
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.50E+12,139148
