ID,CANTIDAD,CB,LOTE,
02092_01,1,7501573900580,SG1405,
00031_01,1,7501088509810,AFA415,
02807_01,10,7502211784241,R1512277,
02692_01,15,7502227870532,RVD002,
00055_01,10,7502211780359,R1603573,
00885_01,2,7501258205870,152148,
00527_01,8,7501088606403,15F16JA,
02741_01,7,7501303457513,53260B,
00031_01,1,7501088509810,afa415,
02867_01,1,7501072350008,6mxa001,
01509_01,4,7503001007090,S5675,
00290_01,11,7501033953507,61006MC1,
01003_02,8,7501070612856,058fr068,
02245_01,2,7501109904440,AC2217,
01483_01,2,7501672602958,183,
02876_03,6,7501258206563,151883,
00024_01,1,7503001007069,55793,
00272_01,6,7502209290105,150624,
02245_01,1,7501109904440,AC7248,
