ID,CANTIDAD,CB,LOTE,,
00187_01,10,7501559604525,w43701,,
00523_01,2,7501037950519,558410,,
02656_01,1,7501250829876,51010,,
00866_01,8,7501043163637,C23737312,,
02876_01,4,7502213040031,6b042,,
00256_01,4,7501871720767,98550,,
00266_01,1,7501070903411,I1603231,,
02754_01,1,650240015366,15M026,,
01492_01,8,7501871720606,22275,,
01550_02,10,7502264950549,018911,,
00069_01,12,7502223112452,15JX41,,
01263_01,2,7501303437003,XB30DWJA,,
02807_01,7,7502211784241,R1512277,,
01505_01,9,7502009740367,154610,,
00334_01,16,7502009740374,152602,,
00259_01,1,7501109900503,AC6769,,
00886_01,1,7501287660312,1504041A,,
00260_01,1,300090760045,N05041,,
01263_01,2,7501303437003,XB30DWJA,,
02618_01,12,7502009741784,160172,,
01885_09,10,7502211780915,R1511112,,
00114_01,7,7501057005732,AA9419,,
01126_01,25,7501328980119,10960,,
00324_01,1,7501082224214,560045,,
02807_01,7,7502211784241,R1512277,,
00842_01,3,7501108762942,99310,,
00138_01,1,7501303443530,XB30CC7,,
00324_01,1,7501082224214,654829,,
