ID,CANTIDAD,CB,LOTE
02919_01,6,7501165006331,5F1938A
01503_01,2,7501825300120,988G
00866_01,5,7501043163637,C686805
02677_01,6,7501088607950,252690F
00899_01,4,7703331157506,53338A
00023_01,5,7502003380538,5627
00114_01,10,7501057005732,AA9419
02658_03,4,7501258205474,151635
02615_01,2,7502009741296,161020
02626_01,2,75006464,1580035
02968_01,2,7501088504419,CH217
02696_01,6,7502213040505,5J269
02245_01,6,7501109904440,AC2217
00871_01,6,7501043163057,1504600056
00885_01,6,7501258205870,152148
00187_04,3,7501125159350,15Y055
01523_01,3,7501752514218,15103
00775_01,2,7501088505485,AEJ724
02552_01,8,7501165005563,10000681
02553_01,4,7501165006171,520937
01754_01,10,7891106904353,BB10GZP
03009_01,5,7501092774730,319243
00266_01,1,7501070903411,I1603231
00138_01,1,7501303443530,XB30CC7
00443_04,2,7501573920182,SK1541
00885_01,2,7501258205870,152148
00624_01,1,3499320001359,5058109
01782_02,2,7501098606103,2000312F00
00782_02,2,7501098606127,3001128D00
02225_01,4,7501409201096,215399
01376_01,3,7501201400659,89505
00871_01,4,7501043163057,1504600056
01008_01,3,7501098621175,EABE
00682_01,2,7501303451603,WEM3E1
02225_01,9,7501409201096,215399
02855_01,1,656599040486,ES15ENG03
00679_01,8,7501108712213,L96798
02692_01,10,7502227870532,RVD092
02552_01,10,7501165005563,10000681
