ID,CANTIDAD,CB,LOTE
01263_01,7,7501303437003,xb30dxba
01003_02,15,7501070612856,058CS074
00679_01,10,7501108712213,L96798
02553_01,17,7501165006171,515905
00499_01,1,7501109790029,16D132
00259_01,2,7501109900503,AE3960
02225_01,2,7501409201096,215399
02611_01,1,7502211784180,R1604783
01262_01,1,7501314705542,56A802
00807_01,2,7501082212181,655750
02626_01,1,75006464,180035
02631_06,3,7503003134039,1506485
00641_01,3,7501089810205,15110051
02789_01,5,7501123013807,141184
00260_01,1,300090760045,N05041
00527_01,4,7501088606403,15f16ja
01754_01,12,7891106904353,MAOZCAF
01410_01,1,7503005569105,G54010A
00807_01,2,7501082212181,656448
