ID,CANTIDAD,CB,LOTE
02618_01,4,7502009741784,160172
00499_01,1,7501109790029,16D132
02677_01,4,7501088607950,257153F
00023_06,10,7502006922759,5G753
01922_01,2,7501109904143,FHZTT00
00840_01,2,7501836000927,16D039
00055_06,2,780083141929,780083141929
00899_01,8,7703331157506,54368D
03009_01,1,7501092774730,319243
03001_01,1,7503007822345,FC70192
03000_01,1,7503007822338,FC70188
02845_01,15,7502009743856,160950
00362_01,6,7501314702640,S6B993
01922_01,3,7501109904143,FHZTT00
02741_01,1,7501303457513,54266C
