ID,CANTIDAD,CB,LOTE
00135_01,2,7502209290068,1500106
00610_01,4,7501072340665,5H241NA
00138_01,2,7501303443530,XB30E6B
02245_01,3,7501109904440,AF0166
02754_01,6,650240015366,15J125
01143_01,3,7501326002912,m026529
02629_01,5,7501075717914,460076
00069_01,15,7502223112452,16DP07
01263_01,3,7501303437003,XB30DXBA
01310_01,1,7503006698323,4ABRI16/09
00259_01,5,7501109900503,AF1122
00610_01,1,7501072340665,5H241NA
02696_01,4,7502213040505,6H225
00218_01,10,7501825300373,773J
00272_01,5,7502209290105,150818
00682_01,2,7501303451603,WEM3E1
01008_01,1,7501098621175,FP0084
02754_01,4,650240015366,15J125
00786_01,6,3393370037415,M36X
00256_01,4,7501871720767,98723
00501_01,3,7502003388053,6431
02853_09,3,7501349027329,b16a391
00061_01,1,736085400984,4014811
02876_01,10,7502213040031,5G179
02615_01,6,7502009741296,161846
00510_01,1,7501390911226,607200
00501_01,4,7502003388053,6431
00842_01,1,7501108762942,100881
00256_01,6,7501871720767,98697
00499_01,6,7501109790029,16J002
02553_01,15,7501165006171,551174
00231_05,2,780083144296,16142393
00231_05,1,780083144296,16142393
02697_01,3,736085904727,4015006
00119_01,1,7501043110778,16A001
02775_01,4,7501836000071,16E026
01885_01,3,7502211788355,R1606988
,,,
00786_01,2,3393370037415,HA9V
