ID,CANTIDAD,CB,LOTE
01924_01,90,7501094916671,B5972
00169_01,67,7502208891891,508074
02591_02,43,7501092793038,11159160
00687_03,32,7501125195778,I15M701
02762_04,20,7501349024885,N15t062
03044_01,23,785118752903,5J2236
01479_01,17,7501349018273,U15S084
00377_01,20,7501258205092,152283
02737_01,18,7502213041106,SJ254
00098_08,24,7502208892232,506768
00098_08,1,7502208892232,509360
01774_01,17,7501046427576,1521600024
02872_01,17,7501298204970,M50850
02711_01,14,7501298213569,M54850
00284_01,10,300093644045,AC5308
00284_01,4,300093644045,AA6051
02623_06,12,7502009740466,153126
02623_06,12,7502009740466,153126
01452_01,10,7503001007250,T5614
02689_01,7,7501088504532,P1133
00282_01,5,7502216798120,15C091
00160_01ÿ,1,637420202600,150707
00160_01ÿ,1,637420202600,150814
00160_01ÿ,1,637420202600,150911
00160_01ÿ,1,637420202600,151019
01820_01,3,7501070903572,S1508547
01820_01,1,7501070903572,S1504120
02863_01,6,7501287613516,187AA
00256_01,2,7501871720767,97821
02808_01,2,7501109763436,15k130
00295_04,2,7501125132537,B15S817
