ID,CANTIDAD,CB,LOTE
02576_01,142,7501871720552,97935
02576_01,2,7501871720552,97918
00810_01,60,7501871720675,76704
02796_01,10,7502227871584,RVL062
02796_05,80,7502227874202,RRG003
00712_04,12,7501537102357,5102505
02579_01,21,7501165006386,5MXA011
02579_01,1,7501165006386,5MXA010
02579_01,35,7501165006386,5MXA009
00694_01,30,7501300408204,508460
00855_01,50,7501842900884,513005
00022_14,31,7502211788331,R1508575
00371_01,44,785118752866,5J2224
00469_01,30,7501088507670,AEG333
01452_01,44,7503001007250,T5614
02575_06,10,8901120005369,12363
02575_06,27,8901120005369,MP101519
02575_06,30,8901120005369,MP10519
00674_08,30,7501277060061,23060J15
00674_08,1,7501277060061,2058115
02763_01,40,785120754858,SB426
01774_01,21,7501046427576,1521600024
