ID,CANTIDAD,CB,LOTE,,
00180_01,1,7896116880543,bs018lj,,
02961_01,1,7501303473117,wel8hb,,
00467_01,3,785118752347,5j2367,,
00167_01,3,7501050613965,m520112,,
01855_02,6,7501258205733,151744,,
00055_01,10,7502211780359,R1503613,,
02807_01,5,7502211784241,r1511033,,
01885_10,10,7502009740305,152795,,
00055_01,5,7502211780359,R1503613,,
00719_04 ,8,7501349024281,K15T806,,
00467_01,7,785118752347,5j2367,,
00434_01,3,7501303436501,xb30d1hc,,
02962_01,3,7501088575594,AEK323,,
02876_01,13,7502213040031,5G178,,
01754_01,28,7891106904353,BB10GZP,,
00055_01,4,7502211780359,R1503613,,
02242_01,2,7501314701766,S5J495,,
00449_01,5,7501406829002,C734643,,
00467_01,6,785118752347,5j2367,,
01135_01,2,7501298216409,m50127,,
