ID,CANTIDAD,CB,LOTE
00376_05,18,7502009740657,153050
01550_01,13,748499100190,18704
00496_20,4,7502009742828,154539
00128_03,10,7501349015074,I15Y779
02692_01,8,7502227870532,RVD090
00546_01,5,785120753349,5D1175
00674_01,4,7501075713770,500246
00369_01,3,7501573900375,SH1514
02777_02,2,7501644791956,402004
00343_01,1,7501298234809,M52439
00343_01,2,7501298234809,M54423
00343_01,2,7501298234809,m55461
00371_01,1,785118752866,5K2583
00665_02,2,7501672690085,5010054
00694_01,3,7501300408204,508460
00177_01,2,7501573921479,SH1532
02491_01,1,7501043160971,F57C
00416_01,3,008400000668,5F195
