ID,CANTIDAD,CB,LOTE
02592_01,2,7501043149921,K5010
00324_01,2,7501082224214,557229
02698_01,1,7501109901616,AC4902
01724_01,2,7502009744587,151107
02863_01,3,7501287613516,186AF
00111_01,7,7501089804099,15090160
00779_01,6,7502009744976,152154
00886_01,12,7501287660312,1502251A
00324_01,4,7501082224214,c294791a
00114_01,11,7501057005732,AA9410
02225_01,11,7501409201096,215399
00114_01,3,7501057005732,AA9410
00494_01,3,7501049721145,BG201401
00719_04 ,3,7501349024281,k15t806
00779_01,2,7502009744976,152154
01730_01,1,7501314703227,S5J438
02796_05,15,7502227874202,RRG003
00833_01,3,7502009744570,152732
00679_01,5,7501108712213,L96795
02230_01,3,7501088575396,AEJ320
00069_01,2,7502223112452,15AM11
00886_01,5,7501287660312,1502251a
01499_01,1,7501258203586,152253
01494_03,1,7501573902782,lk1520
01029_01,2,7501123014743,5h0125
00023_01,2,7502003380538,5471
00866_01,9,7501043163637,C701482
00111_01,4,7501089804099,15090160
00124_01,4,7501287678171,1501991a
02783_01,2,7502211780724,r1411034
00434_01,3,7501303436501,XB30C2DB
02553_01,3,7501165006171,520934
01126_01,6,7501328980119,30199
01153_02,1,7502211784043,R1507344
