STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00722_01,9,7501095435027,AAE7425
00722_01,1,7501095435027,4G806191
02393_01,4,7501088507854,AEA311
01310_01,4,7503006698323,29OCT15/21
00047_01,20,7501142911306,5083854A
02635_01,20,7501287678034,1600101A
00124_01,14,7501287678171,15027914
00567_01,6,3499320001168,5079111
00735_01,50,7501050693806,5KTLDES002
01143_01,7,7501326002912,1506117
01656_01,10,7501871721023,75953
00880_01,5,7501088618109,246804F
00965_01,60,7501326000888,L046629
02553_01,28,7501165006171,535584
02840_01,6,7501188801227,134180
00525_01,5,7501101612282,16B209V1
00186_01,10,7501037905588,506549
02656_01,11,7501250829876,50223
02656_01,4,7501250829876,51010
00564_01,1,7501094914882,1693266
00135_01,3,7502209290068,1500106
02863_01,11,7501287613516,176BB
00680_01,3,7501094910457,RO2878A
00337_01,7,7501033920356,58278MC1
00418_01,10,7501289511261,16HG001
00523_01,12,7501037950519,558410
01922_01,22,7501109904143,FCZSUD0
00810_01,30,7501871720675,77555
00483_01,19,7501165000179,5MXA018
01126_01,50,7501328980119,10961
00842_01,10,7501108762942,99310
00843_02,3,7501108762997,99294
01241_01,12,7501070635756,155
00726_01,3,7501089804013,14120030
01436_01,12,7501326001977,M004360
02664_01,92,7503003738879,150366
01029_01,10,7501123014743,5H0126
01029_01,1,7501123014743,5H0125
01003_02,54,7501070612856,058FR068
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
