stockid,cantidad,cb,lote
01126_01,2,7501328980119,10959
01126_01,2,7501328980119,10958
01126_01,3,7501328980119,30197
01126_01,3,7501328980119,30198
01126_01,3,7501328980119,30199
01135_01,15,7501298216409,17622
00114_01,1,7501057005732,AC6423
00114_01,1,7501057005732,AA9419
00012_01,2,7501092708032,11029628
01678_01,8,7501130713868,4601011
01855_02,2,7501258205733,1517444
01889_03,4,7501573900153,SK1529
00189_01,1,7501250812519,51060
01922_01,27,7501109904143,FDZTW00
02007_01,2,7501037900521,559530
02016_02,2,8054083005058,51073LX01
00208_01,5,7501050610674,M003494
00022_12,30,7502006922018,6A092
00022_02,1,7502006922742,51998
02225_01,2,7501409201096,215399
02242_01,1,7501314701766,56A807
02242_01,1,7501314701766,S5K671
00023_01,2,7502003380538,5627
00231_05,1,780083144296,15142154
02414_01,1,7501088589478,4306000017
00256_01,22,7501871720767,98058
02579_01,13,7501165006386,6MXA001
02592_01,1,7501043149921,L5012
02615_01,3,7502009741296,161020
02615_01,1,7502009741296,154766
02635_01,1,7501287678034,1481022
02635_01,4,7501287678034,1481023
02635_01,1,7501287678034,1481027
02635_01,1,7501287678034,1600101A
02677_01,1,7501088607950,250948F
02677_01,1,7501088607950,252690F
02677_01,3,7501088607950,253613F
02691_01,16,7502211780045,R1512307
02735_01,6,7501088506871,15125
02807_01,22,7502211784241,R1512277
00282_01,4,7502216798120,15C091
02843_01,4,7502227870716,RVY002
02845_01,6,7502009743856,160155
00290_01,2,7501033953507,57010MC
02945_02,1,7503001007076,S5562
02976_01,1,656599041018,151241
03031_01,2,7501390917099,511390
00327_01,1,7501122963028,6B0033
00329_01,14,7506205804847,ZL6AEC
00362_01,4,7501314702640,S5J530
00362_01,2,7501314702640,S5L710
00053_01,15,7501752514614,16001
00053_01,1,7501752514614,15100
00546_01,1,785120753349,601370
00546_04,4,7501563310399,601370
00055_01,10,7502211780359,R1602477
00055_01,12,7502211780359,R1602488
00624_01,4,3499320001359,5058105
00624_01,1,3499320001359,5058109
00624_01,1,3499320001359,5058106
00625_02,2,7501098608541,7387
00627_01,1,7501672600343,485
00067_01,2,7501122961017,135316
00679_01,11,7501108712213,L96798
00689_01,1,7501537102395,5082124
00691_01,1,7502009740299,154534
00712_04,4,7501537102357,5123234
00719_02,7,7501559605539,W42831
00787_01,1,7501124855208,1507093
00794_01,4,7501082212150,655249
00804_01,1,7501082212167,655299
00810_01,16,7501871720675,76977
