STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00886_06,20,7501277092024,2314J15
00679_01,12,7501108712213,M57677
02835_01,10,7502001162013,16051237
00167_01,10,7501050613965,M020242
01922_01,20,7501109904143,FJZSJ00
00031_02,30,780083148584,16142666
00031_02,10,780083148584,16142667
00169_01,40,7502208891891,603415
01862_01,10,7501471887679,154762
02582_01,20,7502003380149,6298
02611_01,20,7502211784180,R1604783
00496_16,40,7502007577941,55753
02193_01,1,7501033952784,66200MC
00613_01,20,7501088605857,16H02BB
00098_09,20,7503001007052,C6479
00467_01,20,785118752347,6C332
02807_01,20,7502211784241,R1602522
00810_01,30,7501871720675,78222
02608_01,20,7501836009661,16F093
02885_01,40,7501573900955,SF1607
01505_01,20,7502009740367,160786
00334_01,20,7502009740374,161347
02786_01,36,300055501638,N54366
00055_01,48,7502211780359,R1605880
01885_01,50,7502211788355,R1607115
