STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01436_01,20,7501326001977,M012203
01436_01,10,7501326001977,M027798
00965_01,38,7501326000888,L046629
02656_01,28,7501250829876,60232
01774_01,7,7501046427576,1530800059
01774_01,23,7501046427576,1609100004
02711_01,17,7501298213569,M56010
02711_02,23,7501298213569,M54850
00348_01,3,7501122900788,W1307
00348_01,2,7501122900788,W1302
00348_01,6,7501122900788,W1314
00348_01,1,7501122900788,W1323
00111_01,1,7501089804099,15110028
00334_01,7,7502009740374,152602
00115_01,3,3499320001335,6022217
00115_01,3,3499320001335,5022145
00115_01,1,3499320001335,5022110
00659_01,21,7501201448088,F49593
