STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00261_01,1,300093116016,110187
00840_01,4,7501836000927,15K060
02834_01,8,7502211784005,R1410843
02576_01,2,7501871720552,97935
02251_01,1,7501201401663,89483
01774_01,11,7501046427576,1521600024
02698_01,2,7501109901616,AC4902
01854_01,21,7501842900341,511013
01479_01,1,7501349018273,U15S084
00252_01,2,7501298205021,M53194
02679_01,2,7502227872246,RL086
02847_01,2,7502211783787,R1502411
00615_01,5,7501871720507,97847
02023_01,2,7501088507755,618
00045_02,4,7502247372498,L16M101
02762_04,20,7501349024885,N15T063
02769_06,10,7502001162976,15112230
00694_01,10,7501300408204,508460
02572_03,3,7501563383102,507451
01450_05,10,7501573900337,SK1528
02427_01,8,7501201401557,F47992
