"Envio No: ","2241"

"Almacen Origen","AVE"
"Almacen Destino","FARMACIA/AVE"
"Fecha","02/02/2016"

"Codigo","Codigo de Barras","Lote","Descripcion","Cantidad Enviada","Cantidad Recibida","Motivo"
"01452_01","7503001007250","T5614","AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.","30","30",""
"01854_01","7501842900341","511025","AZITROMICINA 500MG C/3 TAB.","20","20",""
"02785_01","7501258200134","141250","BROMOCRIPTINA 2.5MG C/14 TAB.","2","2",""
"00377_01","7501258205092","152283","DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS","1","1",""
"01509_01","7503001007090","S5675","DICLOXACILINA 250MG SUSP. FCO. C/60ML","12","12",""
"02427_01","7501201401557","747992","EPINASTINA 0.05% SOL. FCO. GOTERO C/5ML","3","3",""
"00369_01","7501573900375","SH1514","FUROSEMIDA 40MG C/20 TAB.","10","10",""
"00187_04","7501125159350","15Y055","IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.","12","12",""
"1897_14","7501672601715","194","METFORMINA 850MG C/30 TAB. ","40","40",""
"02882_01","7501409201829","163242","TESTOSTERONA 250MG/1ML C/1 AMP.","5","5",""
