STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01341_01,24,7501250813530,50777
00496_20,12,7502009742828,154539
02572_03,2,7501298234700,M54429
00789_01,5,7501130713158,4510072
02808_01,2,7501109763436,15K129
00416_01,2,7501871720507,97847
00416_01,12,7501070902384,S150854
02679_01,1,7502227872246,RL086
00369_01,3,7501573900375,SH1514
01550_01,1,748499100190,18704
01724_01,4,7502009744587,151107
00120_01,2,7501043110853,15B002
00294_06,10,7502216795044,15F120
00191_01,2,7501299306468,K03188
