STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01024_01,1,7501109901609,AC7219
01897_13,33,7501125167232,U15G018
02763_01,10,785120754858,SB426
00128_05,9,7501125191824,I14T492
00369_01,9,7501573900375,SK1505
00687_01,8,7501349011175,I15D163
00057_01,7,785118752521,5C844
00371_01,6,785118752866,SK2583
02737_01,6,7502213041106,5J254
00938_01,5,7501298234700,M55317
02557_02,5,7501033953347,59054NR
02953_01,5,7502257270036,11163215
00295_01,4,7501089804099,B15Y457
01493_02,4,780083144814,1514079
02627_03,3,7501075718881,670385
02798_01,3,7501384503260,6481115
02784_01,2,7501752513204,15094
00545_01,1,7501573921264,SK1504
00937_01,1,7501298234908,M55315
02777_02,1,7501644791956,402004
02963_01,1,7501070903619,S1512949
