STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00111_01,2,7501089804099,15090055
02630_01,6,7501573900405,SH1548
00022_14,10,7502211788331,R1508575
00938_01,4,7501298234700,M54429
00119_01,1,7501043110778,14L004
00700_01,2,780083140595,15142669
01854_01,10,7501842900341,511013
01867_02,3,785120754131,5K2622
00193_01,4,7501033957505,54131MC
00539_01,3,7501287669001,1503491A
02587_01,8,7501573900115,SK1502
02875_01,1,7501471888089,117484
00186_01,2,7501037905588,503901A
02769_06,10,7502001162976,15112230
00266_01,1,7501070903411,I1510795
01505_01,3,7502009740367,152433
00022_14,8,7502211788331,R1508575
