StockID,CANTIDAD,codigo de barras,Lote
02245_01,1,7501109904440,UNE095
01437_03,3,7503000997644,15030302
02792_01,3,7501037910025,456266
01126_01,10,7501328980119,10871
00111_01,6,7501089804099,14040073
00135_01,3,7502209290068,M160E01
01143_01,6,7501326002912,14P3930
00167_01,1,7501050613965,LX20123
01852_01,3,7502009740497,150537
01782_02,5,7501098606103,2000278e00
03000_01,11,7503007822338,EC70336
01922_01,1,7501109904143,efzt200
01922_01,1,7501109904143,EHZT800
00871_01,6,7501043163057,1507600057
01550_01,3,748499100190,18191
00135_01,2,7502209290068,M160E01
00871_01,3,7501043163057,1507600057
00871_01,2,7501043163057,1507600057
01555_01,5,300090050139,Z596C
02618_01,10,7502009741784,150198
00871_01,3,7501043163057,1507600057
02780_02,9,7502240450230,140851
02726_01,7,7503000997927,15022015
02919_01,5,7501165006331,3f525a
00421_01,5,7501082208160,C331133G
01143_01,7,7501326002912,14P3930
02919_01,5,7501165006331,MEDXXXX
00421_01,5,7501082208160,C331133G
01143_01,7,7501326002912,14P3930
02780_02,9,7502240450230,140851
00111_01,1,7501089804099,14040073
