id,cantidad,codi,lote
02657_01,1,7501258207584,151169
02843_01,3,7502227870716,RVY014
00273_01,8,7501349028982,B15U689
02853_01,4,780083141516,15340553
02789_01,1,7501123013807,117560
01550_01,2,748499100190,18191
00225_01,6,7501201400581,F46517
00045_02,6,7502247372498,L14H0249
00045_02,18,7502247372498,L14J0749
00675_01,20,7501328979564,5MXA009
00675_01,20,7501328979564,5MXA008
00836_02,50,7501109904334,AA1078
02798_01,6,7501384503260,470114
00165_01,3,7501094911126,K1119
00295_04,2,7501125132537,B15Y457
