id,cantidad,codigo de barras,lote
00674_10,2,7501672602934,27
01479_01,15,7502261160262,U15S084
01945_01,2,7501075717860,650054
00102_01,2,7501088507502,AEG357
00924_01,15,7501573900900,SF1508
00165_01,12,7501094911126,K1119
02635_01,15,7501287678034,1481027
00231_05,3,780083144296,15141142
03044_01,13,785118752903,5J2236
00310_06,5,7501825302582,908G
02654_01,1,7501009070450,FO148B043
02553_01,10,7501165006171,520934
02845_01,2,7502009743856,150427
02601_01,6,7501109904792,AA0024
00687_03,20,7501125195778,I15M701
00038_01,6,7501089800664,14100090
00699_01,5,780083140588,14143014
00884_01,13,7502227872123,RRC049
02808_01,2,7501109763436,15K130
00727_01,1,7501089804310,14060158
02281_01,1,7501098605755,71890
01424_01,2,7501573900276,SA1505
02591_02,7,7501092793038,11159160
00098_08,6,7502208892232,506768
02945_02,8,7503001007076,S5685
00069_01,2,7502223112452,15JX41
02843_01,4,7502227870716,RVY002
00612_01,10,7501088607806,15F16C
00687_03,18,7501125195778,I15M701
00628_11,6,7502216790179,15A159
00674_10,1,7501672602934,308
02663_01,1,7501573900023,SB1555
02625_01,11,7501075717150,360035
02591_02,9,7501092793038,11159160
03014_01,3,7502005861028,1308085
00310_06,4,7501825302582,908G
01479_01,2,7501349018273,U15S084
02591_02,5,7501092793038,11159160
00628_11,6,7502216790179,15A159
00114_01,10,7501057005732,AA9419
01304_01,50,7501092779278,11129969
02773_01,8,7501075713718,440145
