id,cantidad,codigo de barras,lote,,,,,,
00610_01,3,7501072340665,5h179nc,,,,,,
00861_03,2,7502223553552,1507043,,,,,,
01143_01,4,7501326002912,1506117,,,,,,
02682_01,15,7502216792289,15k267,,,,,,
00779_01,2,7502009744976,152154,,,,,,
01724_01,4,7502009744587,151107,,,,,,
02281_01,2,7501098605755,70533,,,,,,
02245_01,4,7501109904440,ac2217,,,,,,
02963_01,3,7501070903619,s1409421,,,,,,
00552_02,1,7502264950389,1515200001,,,,,,
#N/A,1,7502009744891,152600,,,,,,
00610_01,1,7501072340665,5h179nc,,,,,,
00726_01,1,7501089804013,15050097,,,,,,
01034_01,1,7501082212174,557191,,,,,,
00284_01,1,300093644045,aa5418,,,,,,
02251_01,1,7501201401663,88026,,,,,,
02899_01,3,7501108767923,l92664,,,,,,
02905_01,1,7501108767893,l833636,,,,,,
00528_01,4,4046222418601,477214,,,,,,
00687_07,3,7502208892256,502159,,,,,,
02682_01,6,7502216792289,15k267,,,,,,
00282_01,10,7502216798120,15c091,,,,,,
02800_01,5,7501672602972,150,,,,,,
02139_01,1,7501125131011,aa14j799,,,,,,
02139_01,1,7501125131011,a14y737,,,,,,
00067_01,1,7501122961017,124476,,,,,,
00642_01,11,780083142827,15340612,,,,,,
02738_01,2,5034642032575,r723549,,,,,,
02838_06,2,7501493888784,vmo5614,,,,,,
00623_01,1,7501871730315,97788,,,,,,
00687_07,3,7502208892256,502159,,,,,,
00840_01,4,7501836000927,15g086,,,,,,
00443_01,10,7501075717174,380205,,,,,,
00483_01,10,7501165000179,5mxa011,,,,,,
02801_01,4,7502216792197,15f083,,,,,,
00128_05,10,7501125191824,114t492,,,,,,
00754_01,44,7501201490797,89607,,,,,,
00657_10,4,7501842900983,50g033,,,,,,
,,,,,,,,,
