id,cantidad,codigo de barras,lote
02570_05,5,785120754018,5D906
00115_01,2,3499320001335,4022047
01024_01,2,7501109901609,AA1476
02575_05 ,1,7502223555143,TST314003
00067_01,2,7501122961017,125194
00067_01,1,7501122961017,110759
02281_01,3,7501098605755,71606
00815_01,16,7501094910556,T2936
00815_01,2,7501094910556,T2427
01552_01,15,3499320001946,5074118
01007_04,6,7504016415016,14052128
01007_01,3,7503000997873,14082851
00527_01,7,7501088606403,15F16JA
00628_08,1,7501349010321,N15U043
00201_01,1,7501836000118,15G088
00201_01,1,7501836000118,15C003
,,,
