id,cantidad,codigo de barras,lote,
02193_01,5,7501033952784,53213MC,
00700_01,3,780083140595,15141665,
02930_01,1,7501109920655,EFL0H00,
02668_01,1,785118752705,4J2662,
02608_01,2,7501836009661,15e050,
02570_06,20,7501075717518,190045,
02905_01,1,7501108767893,J37717,
00057_01,15,785118752521,5D1144,
00798_01,3,7501109904457,UPE114,
02245_01,4,7501109904440,UJE020,
00373_06,15,7501573900733,SC1552,
02711_01,1,7501298213569,M50499,
01479_01,10,7501349018273,U15J052,
02784_01,1,7501752513204,15013,
00810_01,16,7501871720675,75774,
01479_01,4,7501349018273,U15J052,
02591_02,1,7501092793038,11116689,
02844_01,2,7501573904212,SC1532,
00510_01,1,7501390911226,411335,
00376_01,7,7501825301561,086G,
02659_01,4,7502227871416,RRM046,
00880_01,2,7501088618109,235984F,
00836_04,10,7841141003436,58578,
00502_01,1,7501298234601,M51846,
,,,,
,,,,
