id,cantidad,codigo de barras,lote
00679_01,3,7501108712213,L21130
01135_01,2,7501298216409,M44072
00494_01,2,7501049721145,BG201304
00679_01,2,7501108712213,L21130
01262_01,5,7501314705542,S5B523
02367_01,1,7501384503215,980814
02945_06,3,7502208892287,412649
03000_01,16,7503007822338,EC70336
02468_01,5,3393370037385,F3662
00709_01,2,7502213142131,5358140705
00253_01,1,7501109904167,ume090
02999_01,2,7503007822321,DC70951
03001_01,4,7503007822345,EC70088
00323_01,5,7501109763641,4l070
01754_01,7,7891106904353,BB10GZP
01263_01,5,7501303437003,XB30B7CA
00067_01,2,7501122961017,119639
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00754_01,2,7501200000000,84761
00754_01,8,7501200000000,87391
02608_01,2,7501840000000,15C054
00643_04,1,7501080000000,620055
