id,cantidad,codigo de barras,lote
02691_01,18,7502211780045,R1507332
01003_02,14,7501070612856,058DR064
00347_01,4,7503013040863,DE4DGSD
01022_01,8,7613031893003,41010346AE
02469_01,3,8717405008471,42570346HA
02469_01,1,8717405008471,4021034614A
02019_01,1,8717405012423,41450346HA
02019_01,4,8717405012423,40900346HB
00138_01,4,7501303443530,XB30BBF
02553_01,18,7501165006171,449775
00124_01,4,7501287678171,1500311A
02876_01,7,7502213040031,5F154
00467_01,2,785118752347,5D1117
01003_02,8,7501070612856,058DR064
02225_01,1,7501409201096,AW201404
02570_05,7,785120754018,5D906
02570_06,9,7501075717518,190045
02639_01,4,7501125102806,S15Y780
02615_01,2,7502009741296,151651
02691_01,6,7502211780045,R1507332
00008_01,1,7501318635784,BXH1V71
02876_01,7,7502213040031,5E113
02307_01,1,7501300408556,157
01003_02,3,7501070612856,058DR064
