id,cantidad,codi,lote
02797_01,2,7501537102197,5010181
02863_01,3,7501287613516,Z375D
02872_01,1,7501298204970,M50850
02630_01,15,7501573900405,SG1521
02635_01,8,7501287678034,1481022
02587_04,4,7501537100469,405345
00425_01,6,7501752514119,E011504
02649_01,4,7501293200335,15G0035
00377_01,20,7501258205092,151831
00680_01,4,7501094910457,R00658A
02621_08,4,7502225092479,L15C0284
00327_01,40,7501122963028,5D0065
02832_02,2,7501188800909,99408
00642_01,5,780083142827,15340348
00642_01,25,780083142827,15340612
00675_01,7,7501328979564,5MXA008
02800_01,1,7501672602972,5061073
00628_07,4,7501277079070,1465F14B
00377_01,17,7501258205092,151831
00707_01,4,7501349022201,i123047
01003_02,10,7501070612856,058DR064
02692_01,32,7502227870532,RVD084
02663_01,20,7501573900023,SE1450
00866_01,3,7501043163637,C696826
