id,cantidad,codigo de barras,lote,,,
00884_01,2,7502227872123,RRC048,,,
00884_01,1,7502227872123,RRC049,,,
00102_01,10,7501088507502,aee345,,,
00093_02,10,7501573904151,sk1524,,,
02557_02,4,7501033953354,50072NR,,,
02557_03,5,7501033953361,47177NR,,,
00376_01,10,7501825301561,266G,,,
02663_01,5,7501573900023,SK1554,,,
02698_01,15,7501109901616,AA9550,,,
00377_01,10,7501258205092,151834,,,
02808_01,10,7501109763436,15k130,,,
00093_02,5,7501573904151,sk1524,,,
00376_01,8,7501825301561,266g,,,
00680_01,1,7501094910457,R01492A,,,
00128_04,10,7501349025073,115m675,,,
00794_01,7,7501082212150,557193,,,
