id,cantidad,codi,lote,
00377_01,10,7501258205092,151831,
00165_01,1,7501094911126,K1119,
02832_02,2,7501188800909,99408,
00337_01,3,7501033920356,53204MC,
00227_01,9,7501122960317,120975,
00463_02,10,7501125102288,n14u032,
00810_01,10,7501871720675,76371,
00886_01,5,7501287660312,1429003,
01304_01,7,7501092779278,11116342,
02679_01,20,7502227872246,rl083,
02853_01,15,780083141516,14341387,
00330_01,2,7501825300946,026h,
00659_01,6,7501201448088,f47076,
01376_01,10,7501201400659,88085,
02587_04,4,7501537100469,405345,
00115_01,4,3499320001335,4022060,
00657_01,60,7503003738510,150097,
00625_04,1,7501559619802,bm034a,
00131_04,11,7501573900535,SD1504,
00055_01,8,7502211780359,R1506182,
00965_01,40,7501326000888,1504561,
00614_01,2,7501089809155,15030082,
01431_03,30,7502009740664,152556,
01304_01,20,7501092779278,11116345,
02623_01,30,785120754094,5a182,
00201_01,8,7501836000118,15g003,
,,,,
