id,cantidad,codigo de barras,lote,,,
01855_02,5,7501258205733,150034,,,
00679_01,5,7501108712213,L21130,,,
01135_01,4,7501298216409,M44072,,,
02863_01,4,7501287613516,z375d,,,
00138_01,3,7501303443530,XB30BBF,,,
01733_02,3,612197933339,4226HM,,,
02023_01,3,7501088507755,585,,,
00284_01,3,300093644045,AA00588,,,
00116_01,2,3499320001328,4021174,,,
01555_01,2,300090050139,U663B,,,
00323_01,2,7501109763641,4l070,,,
01011_01,1,7501109901098,UCE213,,,
00111_01,1,7501089804099,14050036,,,
01262_01,1,7501314705542,S5B523,,,
00253_01,1,7501109904167,ume090,,,
00581_01,1,7502216932531,a0005,,,
00592_03,1,7501384503048,8461214,,,
02990_01,4,7501088506727,9220201,,,
