id,cantidad,codigo de barras,lote
00102_01,6,7501088507502,aed307
01377_01,1,7501165001619,4f094a
00295_01,2,7501620340123,160815A
00252_01,5,7501298205021,m51471
00256_01,3,7501871720767,97751
00256_01,3,7501871720767,97751
00615_01,10,7501871720507,97797
01440_04,7,7501258204002,151055
00208_01,3,7501050610674,1505051
00208_01,1,7501050610674,1505051
00363_01,3,7501314702657,s5d784
02905_01,5,7501108767893,l83636
02570_05,20,785120754018,5E1405
02623_06,30,7502009740466,153126
01897_04,14,7501125193026,u15j018
02657_01,10,7501258207584,151578
00534_01,10,7503004908714,1507790
00067_01,1,7501122961017,124192
02659_01,30,7502227871416,rr047
00700_01,4,780083140595,15141665
00735_01,5,7501050693806,5ktldcc001
