id,cantidad,codigo de barras,lote,
00008_01,1,7501318635784,bxh1v71,
02582_01,1,7502003380149,5544,
00463_01,10,7502001165151,15061182,
00528_01,7,4046222418601,477214,
00098_09,3,7503001007052,c5575,
00965_01,9,7501326000888,1504561,
01452_01,24,7503001007250,t5380,
00675_01,2,7501328979564,5mxa008,
02582_01,18,7502003380149,4578,
02582_01,4,7502003380149,5544,
02582_01,3,7502003380149,5544,
00798_01,1,7501109904457,AC2492,
01437_03,1,7503000997644,15030302,
02597_03,1,75051549,15042011,
00527_01,3,7501088606403,15F16JA,
00567_01,20,3499320001168,5079101,
01897_04,20,7501125193026,U15J018,
01079_01,3,7501314703111,S4B195,
01232_01,2,7501089803030,15010071,
02737_03,12,7502225092486,L15F0717,
02139_01,7,7501125131011,a14j799,
,,,,
,,,,
,,,,
