id,cantidad,codigo de barras,lote,,,
00377_01,12,7501258205092,152283,,,
01432_03,20,7502211781479,r1503631,,,
00294_01,15,785118752590,5b347,,,
02656_01,14,7501250829876,51010,,,
02930_01,20,7501109920655,efl0h00,,,
01361_01,10,7501008497562,5g037,,,
02586_01,8,7501088507878,AEA389,,,
00120_01,4,7501043110853,15b002,,,
01452_01,15,7503001007250,t5576,,,
02664_01,10,7503003738879,150364,,,
02587_04,18,7501537100469,5092252,,,
00102_01,1,7501088507502,AED305,,,
01263_01,5,7501303437003,XB30C6ZA,,,
01053_01,6,8430308015901,34K,,,
00778_01,3,7502009744433,152073,,,
02789_01,4,7501123013807,125507,,,
00778_01,3,7502009744433,152073,,,
02900_01,10,7501082242386,C495988,,,
00787_01,4,7501124855208,1509191,,,
02698_01,3,7501109901616,aa9550,,,
00186_01,1,7501037905588,503901a,,,
00793_01,2,637420200804,150104,,,
02586_01,2,7501088507878,AEG349,,,
00102_01,2,7501088507502,AEE345,,,
