id,cantidad,codigo de barras,lote
02481_01,3,7501088559112,AEK302
02481_01,7,7501088559112,ADF327
02660_01,8,7502001162426,C15050726
02711_01,8,7501298213569,M51902
00363_01,3,7501314702657,S5F047
00363_01,1,7501314702657,S5784
00847_01,4,7501559610908,em021a
02919_01,2,7501165006331,5F1870B
02682_04,1,7502216796331,15A072
02682_04,1,7502216796331,15H214
02682_04,5,7502216796331,15K192
01852_01,7,7502009740497,153865
00965_01,6,7501326000888,1506616
01310_01,2,7503006698323,13MAY1511
00128_04,5,7501349025073,115M675
02801_04,15,7502009742095,154344
01440_04,6,7501258204002,151540
00804_01,5,7501082212167,557161
00675_01,3,7501328979564,5mxa011
00128_04,2,7501349025073,115M675
00269_01,26,7501277060047,874D15B
00628_01,4,7502211784074,r1509664
00628_11,8,7502216790179,15A159
02657_01,1,7501258207584,152278
02657_01,1,7501258207584,151578
00657_10,20,7501842900983,506033
00252_01,6,7501298205021,M53194
00252_01,6,7501298205021,M53194
01854_08,4,7502227871348,rcz046
02780_02,6,7502240450230,140910
