id,cantidad,codigo de barras,lote
00680_01,8,7501094910457,r01902a
01024_01,5,7501109901609,ac1653
02493_01,10,5034642020138,r737816
01094_01,1,7501092778226,11168926
02468_01,1,3393370037385,F3644
00208_01,15,7501050610674,1505051
02880_01,4,7502226290102,1411267
00709_01,2,7502213142131,5358140704
00709_01,2,7502213142131,5358141106
00789_01,10,7501130713158,4508051
01304_01,20,7501092779278,11129969
00778_01,5,7502009744433,152073
00282_01,4,7502216798120,15c091
00886_01,8,7501287660312,1502251A
00045_07,8,7502247374256,L15G0831
00045_07,2,7502247374256,L15A0044
00642_01,3,780083142827,15340612
00324_01,7,7501082224214,557229
02023_01,1,7501088507755,618
00290_01,5,7501033953507,54002mc
02738_01,3,5034642032575,r738572
00045_07,9,7502247374256,l15g0831
01241_01,10,7501070635756,152
00840_01,3,7501836000927,15K085
00114_01,8,7501057005732,aa6930
02880_01,2,7502226290102,1411267
02680_01,7,7502227870228,rfs073
00186_01,4,7501037905588,503901A
00231_05,3,780083144296,15142154
00679_01,8,7501108712213,l96795
00442_01,4,7501122969808,126867
02565_07,6,7501349021365,q085506
02863_01,8,7501287613516,187aa
