id,cantidad,codigo de barras,lote
02664_01,20,7503003738879,140880
00282_01,9,7502216798120,15c091
02565_07,6,7501349021365,Q075464
02679_01,20,7502227872246,rl084
01897_04,4,7501125193026,U15J022
00208_01,2,7501050610674,1505051
00252_01,3,7501298205021,m51471
00754_01,4,7501201490797,88164
00778_01,7,7502009744433,151037
01479_06,10,7502261160262,50875
00648_01,3,3499320001595,3015006
00009_01,10,7501871720446,97662
00810_01,5,7501871720675,75773
00787_01,8,7501124855208,1507093
00976_01,20,656599041216,151018
01335_01,6,7501298216201,m42461
