id,cantidad,codigo de barras,lote
00680_01,18,7501094910457,R1200658A
00282_01,5,7502216798120,15C091
00707_01,6,7501349022201,114s423
01488_01,1,7501043133548,1514700048
02678_01,20,7501842900099,501022
02737_01,7,7502213041106,5A007
02737_01,1,7502213041106,4G180
00437_01,20,7501672690177,4121952
02652_01,2,7502003388107,5380
02786_01,2,300055501638,L58430
00261_01,5,300093116016,5f0216
02698_01,2,7501109901616,ume028
02698_01,6,7501109901616,UJE115
02281_01,1,7501098605755,70533
02821_04,1,7501559613831,JH031A
