id,cantidad,codigo de barras,lote,
02579_01,2,7501165006386,4mxa005,
01304_01,2,7501092779278,11116349,
02587_04,2,7501537100469,405345,
02621_02,8,7502213041090,5h243,
02872_01,4,7501298204970,m50850,
02621_02,4,7502213041090,5h243,
02679_01,9,7502227872246,rl084,
01304_01,2,7501092779278,11116349,
00787_01,4,7501124855208,1507093,
02691_01,1,7502211780045,r1508453,
00610_01,12,7501072340665,4h321na,
01376_01,21,7501201400659,89114,
01479_06,10,7502261160262,50875,
01920_08,12,7503000422283,153296,
00665_01,1,7501439310089,507043,
00496_19,20,7501672690283,5030624,
00924_01,20,7501573900900,sa1544,
