id,cantidad,codigo de barras,lote,
00871_01,3,7501043163057,1431100006,
00712_05,17,7501573900443,SI1505,
00847_01,10,7501559610908,em021a,
02679_01,20,7502227872246,rl083,
02647_01,14,7501573900177,sb1504,
02875_01,4,7501471888089,117484,
01304_01,5,7501092779278,11116345,
00610_01,6,7501072340665,4h321na,
02786_01,1,300055501638,l17248,
00274_01,3,7501033953002,32004mc,
00884_01,10,7502227872123,RRC048,
00847_01,10,7501559610908,em021a,
00261_01,2,300093116016,5f0216,
01258_01,4,7501123011704,123355,
