id,cantidad,codigo de barras,lote
02844_07,10,7501573904243,sk1420
00840_01,4,7501836000927,15g021
00712_01,19,7501075710250,010075
00614_01,2,7501089809155,15030082
02781_01,1,7503001007137,s5079
00545_01,7,7501573921264,sh1406
02796_01,10,7502227871584,rvl061
00627_01,10,7501672600343,5040805
00976_01,8,656599041216,151018
02594_01,5,7501009071457,RJ0512
02594_01,1,7501009071457,RJ0505
00810_01,3,7501871720675,75773
02647_01,20,7501573900177,SE1532
01079_01,10,7501314703111,S4B195
00527_01,10,7501088606403,15E16JA
02615_01,4,7502009741296,153935
02775_01,10,7501836000071,15G087
01852_01,3,7502009740497,152511
01452_04,20,7501258205016,151420
00996_01,15,7501088617959,239617f
00282_01,10,7502216798120,15c091
01376_01,3,7501201400659,88886
00282_01,10,7502216798120,15c091
01499_01,10,7501258203586,151755
01143_01,8,7501326002912,1503132
00996_01,8,7501088617959,244574f
00545_01,3,7501573921264,sk1452
