id,cantidad,codigo de barras,lote
00775_01,1,7501088505485,ADK722
02775_01,6,7501836000071,15B045
00327_01,2,7501122963028,5B0010
02660_01,1,7502001162426,C14101206
00186_01,3,7501037905588,402754D
01440_04,4,7501258204002,141538
01440_04,5,7501258204002,150276
01248_01,6,736085280098,4013168
00852_01,3,7501075715095,740204
00852_01,3,7501075715095,740134
01058_01,2,7501201400352,F46100
00252_01,10,7501298205021,M50862
00294_01,4,785118752590,4H1887
02885_03,3,780083140540,14142955
02885_01,20,7502261160385,50338
00283_01,2,7502227870259,RRL061
00283_01,3,7502227870259,RRL081
02823_01,4,7502216791527,15D152
00525_01,2,7501101612282,14M219V1
00463_01,4,7502001165151,14071027
00469_01,2,7501088507670,AED359
00469_01,1,7501088507670,ADJ340
01893_01,1,721734682019,55903521214
00310_01,44,7501836003256,RMN196
02711_01,4,7501298213569,M50499
01904_01,10,7502211781943,r1412147
00552_02,3,7502264950389,143440019
02597_01,5,7502222840295,1114
00523_01,3,7501037950519,555529
00615_01,2,7501871720507,97439
00675_01,5,7501328979564,4mxa004
02838_01,5,7501471887969,115867
00310_02,44,7502227871652,RMN196
