id,cantidad,codigo de barras,lote,
02807_01,2,7502211784241,R1501359,
00449_01,3,7501406829002,C711317,
00362_01,3,7501314702640,S4L308,
00499_01,1,7501109790029,4J140,
01678_01,4,7501130713868,4502089,
00124_01,4,7501287678171,1500301A,
00679_01,1,7501108712213,L21130,
02677_01,5,7501088607950,33LK,
00323_01,15,7501109763641,4l070,
00272_01,1,7502209290105,140623,
00131_02,12,7501537102135,5030632,
02225_01,1,7501409201096,AW301404,
00665_02,5,7501672690085,5010054,
02652_01,5,7502003388107,5074,
01492_01,3,7501871720606,21480,
01069_01,2,9300670132188,HH0142,
01492_01,2,7501871720606,21480,
01029_01,2,7501123014743,4J0220,
02657_01,1,7501258207584,150764,
01855_02,2,7501258205733,150034,
02865_01,10,7501075713176,330035,
02242_01,3,7501314701766,S4L310,
