id,cantidad,codigo de barras,lote
01499_01,10,7501258203586,151696
01499_01,20,7501258203586,151197
01094_01,7,7501092778226,11148216
00627_01,5,7501672600343,4040789
00071_01,7,7501384504403,5431114
00368_01,3,7501300408228,507358
02678_01,2,7501842900099,501022
02678_01,8,7501842900099,501022
00840_01,2,7501836000927,15g020
00627_01,3,7501672600343,4040789
02953_01,7,7502257270036,11124788
00764_01,4,7501049721268,BJ201401
02953_01,3,7502257270036,11124788
00564_01,1,7501094914882,1616356
00564_01,6,7501094914882,1654725
00628_08,20,7501349010321,N15U043
02802_01,8,7501573900146,se1428
