id,cantidad,codigo de barras,lote,,,
03009_01,6,7501092774730,301423,,,
00231_05,5,780083144296,15141142,,,
00861_03,30,7502223553552,1512008,,,
00924_01,20,7501573900900,SF1508,,,
02808_01,10,7501109763436,15K130,,,
02839_03,1,7501089800039,14010125,,,
00098_08,15,7502208892232,506768,,,
01920_08,4,7503000422283,153692,,,
01795_01,3,7502209290075,1500105,,,
00102_01,4,7501088507502,AEG357,,,
02618_01,3,7502009741784,152662,,,
00674_10,8,7501672602934,308,,,
01852_01,2,7502009740497,153865,,,
01479_01,80,7501349018273,U15S084,,,
00775_01,4,7501088505485,AEE723,,,
02647_01,10,7501573900177,SJ1506,,,
00531_01,4,7501122966203,126056,,,
03029_01,3,7501098610049,71549,,,
00525_01,9,7501101612282,15J226v1,,,
00674_10,2,7501672602934,027,,,
