STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00093_02,5,7501573904151,SL1403
02953_01,20,7502257270036,11163215
00165_01,10,7501094911126,K1119
00276_01,1,7501050611404,1505904
01854_01,2,7501842900341,511013
02630_01,3,7501573900405,SH1548
00418_01,3,7501289511261,15HG047
02663_01,4,7501573900023,SB1555
01135_01,3,7501298216409,M50146
01135_01,1,7501298216409,M50156
02611_01,5,7502211784180,R1508602
01341_01,11,7501250813530,50777
02946_01,2,7502257270081,11168957
00754_01,15,7501201490797,89607
00021_01,4,7501165001800,5MXA008
02663_01,2,7501573900023,SK1556
00227_01,5,7501122960317,127474
