,,isssteleon,ave,farm ave.,lote,codebar,id
120,BETAMETASONA LOCION CAPILAR FCO. C/50ML,-2,0,2,,,
1224,"INTERFERON ALFA 2B 10,000UI SOL.INY. FCO C/1 AMP.",-2,0,0,,,
1271,BIFONAZOL TUBO CREMA C/20GR,-4,0,-1,,,
1304,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,-22,0,27,,,
1418,GLIBENCLAMIDA 5MG C/50 TAB.,-1,0,0,,,
1481,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,-7,0,0,,,
1510,DICLOXACILINA 500MG C/20 CAP.,-1,0,2,,,
1660,MOMETASONA 1% SOL. FCO. C/30ML,-1,0,0,,,
179,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,-10,0,0,,,
186, IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,-7,0,-1,,,
188, LAMIVUDINA + ZIDOVUDINA 150/300MG C/60 TAB.,-1,0,0,,,
1880,CLORHIDRATO DE TRAMADOL 100MG/ML GOTAS C/10ML,-2,0,0,,,
1886, DEXTROMETORFANO + GUAIFENESINA JARABE INFANTIL C/120ML,-1,0,-1,,,
1912, NAPROXENO SODICO + PARACETAMOL 125MG/100MG SUSP. FCO.  C/80ML,-7,0,-7,,,
1968, METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,-25,0,0,,,
206,BISOPROLOL 2.5MG C/30 GRAGEAS,-1,0,0,,,
21, POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,-1,0,0,,,
2193,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,-4,0,1,,,
22,AMBROXOL SOL. ORAL FCO. C/120ML,-4,0,-5,,,
2242,FOSFOMICINA 500MG C/12 CAP.,-1,0,0,,,
225, BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,-2,88,0,,,
2371,CLOPIDOGREL 75MG C/14 TAB. ,-10,0,0,,,
2411,PRAMIPEXOL 0.5MG C/30 TAB.,-1,0,0,,,
2504,METOTREXATO 2.5MG C/50 TAB.,-1,0,2,,,
2587, BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS,-8,0,3,,,
2602,LOSARTAN 50MG C/30 TAB.,-10,0,25,,,
2604,AMIKACINA 500MG C/1X2ML AMP.,-8,0,0,,,
2608, IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,-6,0,0,,,
2611,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,-1,0,9,,,
2621,LEVOFLOXACINO 500MG C/7 TAB.,-1,0,2,,,
2653,SUCRALFATO 1GR C/40 TAB.,-7,0,0,,,
2663,RANITIDINA 300MG C/10 COMP.,-3,0,0,,,
2674,CLORANFENICOL TUBO OFT. C/5GR,-4,0,3,,,
2682,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,-1,0,1,,,
2691,PARACETAMOL JARABE FCO. C/120ML,-1,0,0,,,
2694,FINASTERIDE 5MG C/30 GRAGEAS,-1,0,0,,,
2726,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,-3,20,0,,,
2737,LEVOFLOXACINO 750MG C/7 TAB.,-4,0,1,,,
2738, SALMETEROL + FLUTICASONA 50MCG/500MG FCO. C/60 DOSIS,-1,0,1,,,
2762,ATORVASTATINA 10MG C/20 TAB.,-73,0,0,,,
2796, KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,-30,0,1,,,
2797, TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,-1,0,1,,,
2801, MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,-2,0,0,,,
2811,DEFLAZACORT 6MG C/20 TAB.,-1,0,0,,,
2823,HIERRO ACIDO FOLICO C/30 GRAGEAS,-7,0,-5,,,
2840, FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 80MG/80MG C/20 CAP.,-1,0,2,,,
2852,ESPIRONOLACTONA 25MG C/200 TAB.,-2,0,0,,,
2869,FILGRASTIM 300MCG C/1 JER. PRECARGADA DE 1ML,-1,0,0,,,
2880,BENZONATATO 100MG C/20 PERLAS,-15,90,27,,,
2885,CIPROFLOXACINO 500MG C/12 COMP.,-39,310,5,,,
2891,CITRATO DE POTASIO 1080MCG C/100 TAB.,-1,0,0,,,
290,ACIDO VALPROICO JARABE 250MG C/120ML,-1,0,0,,,
