STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00102_01,1,7501088507502,AEM383
01238_01,3,7501043111959,UM0257
01440_01,2,7501050631075,4LBTB059
01452_06,1,7502009740763,153254
00165_01,1,7501094911126,K119
01782_02,2,7501098606103,2000312F00
01782_02,1,7501098606103,2000357F00
01782_02,3,7501098606103,200035F00
01905_02,1,7503003134268,1411347
02553_01,14,7501165006171,535584
02579_01,5,7501165006386,6MXA001
02608_01,8,7501836009661,16B022
02674_09,2,0008400007698,50000
02769_05,23,7502216798373,15G050
02796_05,1,7502227874202,RRG003
00280_01,5,7501258200028,152101
00292_09,4,7502216802919,168187
00552_02,6,7502264950389,1517400034
00067_01,2,7501122961017,135316
00712_04,1,7501537102357,5123234
00778_01,1,7502009744433,151037
00778_01,2,7502009744433,152071
00093_02,11,7501573904151,SL1403
